type,name,symbol,id
stocks,Reenova Investment^,5EC,-543
stocks,Regal Intl^,UV1,-544
stocks,Renaissance United^,I11,-545
stocks,Resources Gbl,QSD,-546
stocks,Resources Prima,5MM,-547
stocks,Revez,RCU,-548
stocks,Rex Intl,5WH,-549
stocks,RH PetroGas,T13,-550
businesstrusts,RHT HealthTrust,RF1U,-551
reits,RHT HealthTrust,RF1U,-552
stocks,Rich Capital,5G4,-553
stocks,Riverstone,AP4,-554
stocks,Roxy-Pacific,E8Z,-555
stocks,Ryobi Kiso,BDN,-556
reits,Sabana Reit,M1GU,-557
stocks,Sakae^,5DO,-558
stocks,Samko Timber,E6R,-559
stocks,SamuderaShipping,S56,-560
stocks,Samurai,1C3,-561
stocks,Sanli Env,1.00E+03,-562
stocks,Santak,580,-563
stocks,Sapphire,BRD,-564
stocks,Sarine Tech,U77,-565
reits,Sasseur Reit,CRPU,-566
stocks,SATS,S58,-567
stocks,SBI Offshore,5PL,-568
stocks,SBS Transit,S61,-569
stocks,Second Chance,528,-570
stocks,Secura,43B,-571
stocks,Sembcorp Ind,U96,-572
stocks,Sembcorp Marine,S51,-573
stocks,Sen Yue,5BS,-574
stocks,Serial System,S69,-575
stocks,Seroja Inv^,IW5,-576
stocks,Serrano,40R,-577
stocks,SEVAK,BAI,-578
stocks,SGX,S68,-579
stocks,Shanghai Turbo,AWM,-580
stocks,Shangri-La HKD,S07,-581
stocks,Sheng Siong,OV8,-582
stocks,Shinvest,BJW,-583
stocks,Shopper360,1F0,-584
stocks,SHS,566,-585
stocks,SIA,C6L,-586
stocks,SIA Engineering,S59,-587
stocks,SIIC Environment,BHK,-588
stocks,Silkroad Nickel,STP,-589
stocks,Silverlake Axis,5CP,-590
stocks,Sim Leisure,URR,-591
stocks,Sin Ghee Huat,B7K,-592
stocks,Sin Heng Mach,BKA,-593
stocks,Sinarmas Land,A26,-594
stocks,Sincap,5UN,-595
stocks,Sing Inv & Fin,S35,-596
stocks,Singapore O&G,1D8,-597
stocks,Singapore-eDev,40V,-598
stocks,SingaporeKitchen,5WG,-599
stocks,SingHaiyi,5H0,-600
stocks,SingHoldings,5IC,-601
stocks,SingMedical,5OT,-602
stocks,SingMyanmar^,Y45,-603
stocks,SingPost,S08,-604
stocks,SingReinsurance,S49,-605
stocks,SingShipping,S19,-606
stocks,Singtel,Z74,-607
stocks,Singtel 10,Z77,-608
stocks,Sinjia Land,5HH,-609
stocks,Sino Grandness,T4B,-610
stocks,SinoCloud,5EK,-611
stocks,Sinopipe,X06,-612
stocks,Sinostar Pec,C9Q,-613
stocks,Sitra,5LE,-614
stocks,SK Jewellery,42G,-615
stocks,SLB Dev,1J0,-616
stocks,Soilbuild Const,S7P,-617
reits,SoilbuildBizReit,SV3U,-618
stocks,Soon Lian,5MD,-619
stocks,Soup Restaurant,5KI,-620
stocks,Southern Pkg,BQP,-621
stocks,SP Corp,AWE,-622
stocks,Spackman,40E,-623
etfs,SPDR DJIA US$,D07,-624
etfs,SPDR S&P500 US$,S27,-625
stocks,SPH,T39,-626
reits,SPHREIT,SK6U,-627
stocks,Spindex Ind,564,-628
stocks,Spura Finance,S23,-629
stocks,Sri Trang Agro,NC2,-630
stocks,ST Engineering,S63,-631
stocks,ST Group Food,DRX,-632
stocks,Stamford Land,H07,-633
stocks,Stamford Tyres,S29,-634
stocks,Starburst,40D,-635
reits,StarhillGbl Reit,P40U,-636
stocks,StarHub,CC3,-637
stocks,Starland,5UA,-638
etfs,STI ETF,ES3,-639
stocks,Straco,S85,-640
stocks,Straits Trading,S20,-641
stocks,StratechGroup^,BRR,-642
stocks,SunMoonFood^,AAJ,-643
stocks,Sunningdale Tech,BHQ,-644
stocks,Sunpower,5GD,-645
stocks,Sunright,S71,-646
stocks,Sunrise Shares,581,-647
stocks,Suntar Eco-City^,BKZ,-648
reits,Suntec Reit,T82U,-649
stocks,SunVic Chemical^,A7S,-650
stocks,SUTL Enterprise,BHU,-651
stocks,Swee Hong^,QF6,-652
stocks,Swiber,BGK,-653
stocks,Swing Media Tech,BEV,-654
stocks,Swissco Hldg,ADP,-655
stocks,Synagie,V2Y,-656
stocks,Sysma,5UO,-657
stocks,TA,PA3,-658
stocks,Tai Sin Electric,500,-659
stocks,TalkMed,5G3,-660
stocks,Tat Seng Pkg,T12,-661
stocks,TCIL HK$,T15,-662
stocks,Tech Oil & Gas,5CQ,-663
stocks,Teckwah,561,-664
stocks,TEE Intl,M1Z,-665
stocks,TEE Land,S9B,-666
stocks,Teho Intl,5OQ,-667
stocks,TeleChoice Intl,T41,-668
stocks,ThaiBev,Y92,-669
stocks,Thakral,AWI,-670
stocks,The Place Hldg,E27,-671
stocks,TheHourGlass,AGS,-672
stocks,Thomson Medical,A50,-673
